"filename", "language", "C#", "JSON with Comments", "comment", "blank", "total"
"c:\Users\daved\Documents\GitHub\FearTheDark\Assets\Scripts\ButtonScript.cs", "C#", 47, 0, 0, 3, 50
"c:\Users\daved\Documents\GitHub\FearTheDark\Assets\Scripts\CameraScript.cs", "C#", 14, 0, 0, 3, 17
"c:\Users\daved\Documents\GitHub\FearTheDark\Assets\Scripts\ConeScript.cs", "C#", 41, 0, 0, 6, 47
"c:\Users\daved\Documents\GitHub\FearTheDark\Assets\Scripts\EnemyScript.cs", "C#", 67, 0, 1, 13, 81
"c:\Users\daved\Documents\GitHub\FearTheDark\Assets\Scripts\FTD.code-workspace", "JSON with Comments", 0, 7, 0, 0, 7
"c:\Users\daved\Documents\GitHub\FearTheDark\Assets\Scripts\MapMasker.cs", "C#", 15, 0, 1, 2, 18
"c:\Users\daved\Documents\GitHub\FearTheDark\Assets\Scripts\PlayerMouseRotate.cs", "C#", 0, 0, 15, 3, 18
"c:\Users\daved\Documents\GitHub\FearTheDark\Assets\Scripts\PlayerMovementScript.cs", "C#", 183, 0, 14, 12, 209
"c:\Users\daved\Documents\GitHub\FearTheDark\Assets\Scripts\SceneLoader.cs", "C#", 15, 0, 0, 2, 17
"c:\Users\daved\Documents\GitHub\FearTheDark\Assets\Scripts\Wpn_anim.cs", "C#", 37, 0, 0, 7, 44
"Total", "-", 419, 7, 31, 51, 508